model,split,site_id,target_date,actual,predicted
BiLSTM+Attention,val,77.499692_13.137276,2023-09-01,0.49609184,0.48232836
BiLSTM+Attention,val,77.499692_13.168717,2023-09-01,0.60356975,0.6176723
BiLSTM+Attention,val,77.504183_12.764475,2023-09-01,0.63445187,0.64076036
BiLSTM+Attention,val,77.504183_12.786933,2023-09-01,0.59188426,0.6034319
BiLSTM+Attention,val,77.504183_12.818374,2023-09-01,0.5928893,0.56352353
BiLSTM+Attention,val,77.504183_12.854307,2023-09-01,0.58522594,0.56047124
BiLSTM+Attention,val,77.504183_12.858799,2023-09-01,0.613112,0.61889756
BiLSTM+Attention,val,77.504183_12.953122,2023-09-01,0.5451715,0.52811325
BiLSTM+Attention,val,77.504183_13.083377,2023-09-01,0.54498917,0.55619866
BiLSTM+Attention,val,77.504183_13.141768,2023-09-01,0.5451198,0.5526836
BiLSTM+Attention,val,77.504183_13.159734,2023-09-01,0.63405454,0.63854253
BiLSTM+Attention,val,77.504183_13.195667,2023-09-01,0.4873835,0.49912584
BiLSTM+Attention,val,77.508675_12.751001,2023-09-01,0.6683147,0.6416295
BiLSTM+Attention,val,77.508675_12.795916,2023-09-01,0.6532767,0.6339244
BiLSTM+Attention,val,77.508675_12.831849,2023-09-01,0.5948868,0.5667733
BiLSTM+Attention,val,77.508675_12.836341,2023-09-01,0.59032005,0.5910176
BiLSTM+Attention,val,77.508675_12.845324,2023-09-01,0.5845835,0.5644135
BiLSTM+Attention,val,77.508675_12.903714,2023-09-01,0.5117239,0.48582637
BiLSTM+Attention,val,77.508675_12.912697,2023-09-01,0.5490562,0.5301172
BiLSTM+Attention,val,77.508675_12.917189,2023-09-01,0.61414945,0.58899504
BiLSTM+Attention,val,77.508675_13.114818,2023-09-01,0.46534896,0.44476038
BiLSTM+Attention,val,77.508675_13.137276,2023-09-01,0.49484938,0.5003412
BiLSTM+Attention,val,77.508675_13.159734,2023-09-01,0.61997765,0.6261748
BiLSTM+Attention,val,77.508675_13.191175,2023-09-01,0.51292664,0.523048
BiLSTM+Attention,val,77.513166_12.746509,2023-09-01,0.73148096,0.7548133
BiLSTM+Attention,val,77.513166_12.764475,2023-09-01,0.59773934,0.5939968
BiLSTM+Attention,val,77.513166_12.77795,2023-09-01,0.7220441,0.7169816
BiLSTM+Attention,val,77.513166_12.822866,2023-09-01,0.6674555,0.6390991
BiLSTM+Attention,val,77.513166_12.908206,2023-09-01,0.51356304,0.49092638
BiLSTM+Attention,val,77.513166_13.087869,2023-09-01,0.545972,0.54764086
BiLSTM+Attention,val,77.513166_13.096852,2023-09-01,0.6098377,0.6233717
BiLSTM+Attention,val,77.513166_13.137276,2023-09-01,0.4590248,0.4644614
BiLSTM+Attention,val,77.513166_13.1777,2023-09-01,0.53826565,0.5439591
BiLSTM+Attention,val,77.517658_12.764475,2023-09-01,0.6436221,0.63875973
BiLSTM+Attention,val,77.517658_12.77795,2023-09-01,0.69741356,0.67676777
BiLSTM+Attention,val,77.517658_12.782442,2023-09-01,0.6962498,0.68375677
BiLSTM+Attention,val,77.517658_12.795916,2023-09-01,0.62742114,0.63481057
BiLSTM+Attention,val,77.517658_12.827358,2023-09-01,0.5947602,0.56108177
BiLSTM+Attention,val,77.517658_12.849815,2023-09-01,0.5896701,0.56682307
BiLSTM+Attention,val,77.517658_12.885748,2023-09-01,0.5584786,0.56904775
BiLSTM+Attention,val,77.517658_12.89024,2023-09-01,0.5499965,0.5549574
BiLSTM+Attention,val,77.517658_12.899223,2023-09-01,0.56973696,0.55132747
BiLSTM+Attention,val,77.517658_12.998037,2023-09-01,0.5641054,0.5668444
BiLSTM+Attention,val,77.517658_13.11931,2023-09-01,0.43219554,0.41584787
BiLSTM+Attention,val,77.517658_13.182192,2023-09-01,0.541713,0.547341
BiLSTM+Attention,val,77.517658_13.186684,2023-09-01,0.5505882,0.5571959
BiLSTM+Attention,val,77.517658_13.191175,2023-09-01,0.49422976,0.50141156
BiLSTM+Attention,val,77.522149_12.751001,2023-09-01,0.67607856,0.68799615
BiLSTM+Attention,val,77.522149_12.755492,2023-09-01,0.65212643,0.6553487
BiLSTM+Attention,val,77.522149_12.759984,2023-09-01,0.6849679,0.6941764
BiLSTM+Attention,val,77.522149_12.782442,2023-09-01,0.67930114,0.70143044
BiLSTM+Attention,val,77.522149_12.809391,2023-09-01,0.7421214,0.76364154
BiLSTM+Attention,val,77.522149_12.813883,2023-09-01,0.58809114,0.5600819
BiLSTM+Attention,val,77.522149_12.818374,2023-09-01,0.5734587,0.5448691
BiLSTM+Attention,val,77.522149_12.836341,2023-09-01,0.55498844,0.5584194
BiLSTM+Attention,val,77.522149_12.845324,2023-09-01,0.60065264,0.5733859
BiLSTM+Attention,val,77.522149_13.056428,2023-09-01,0.59679073,0.5811531
BiLSTM+Attention,val,77.522149_13.078886,2023-09-01,0.54661995,0.5570909
BiLSTM+Attention,val,77.522149_13.146259,2023-09-01,0.42278266,0.43280733
BiLSTM+Attention,val,77.522149_13.200158,2023-09-01,0.56186223,0.5403688
BiLSTM+Attention,val,77.526641_12.751001,2023-09-01,0.688078,0.69106907
BiLSTM+Attention,val,77.526641_12.840832,2023-09-01,0.6252722,0.63213557
BiLSTM+Attention,val,77.526641_12.89024,2023-09-01,0.6214246,0.61298937
BiLSTM+Attention,val,77.526641_12.899223,2023-09-01,0.59306604,0.5755714
BiLSTM+Attention,val,77.526641_13.078886,2023-09-01,0.56048685,0.5727549
BiLSTM+Attention,val,77.526641_13.105835,2023-09-01,0.44391522,0.4259733
BiLSTM+Attention,val,77.526641_13.110327,2023-09-01,0.4398456,0.42382297
BiLSTM+Attention,val,77.531133_12.791425,2023-09-01,0.5824884,0.59338903
BiLSTM+Attention,val,77.531133_12.795916,2023-09-01,0.65312994,0.63387126
BiLSTM+Attention,val,77.531133_12.800408,2023-09-01,0.59762245,0.60008776
BiLSTM+Attention,val,77.531133_12.822866,2023-09-01,0.60226136,0.5722589
BiLSTM+Attention,val,77.531133_12.827358,2023-09-01,0.5853146,0.58417845
BiLSTM+Attention,val,77.531133_12.894731,2023-09-01,0.54535013,0.52338713
BiLSTM+Attention,val,77.531133_13.083377,2023-09-01,0.55383915,0.5372116
BiLSTM+Attention,val,77.531133_13.114818,2023-09-01,0.42285258,0.44008157
BiLSTM+Attention,val,77.531133_13.195667,2023-09-01,0.54523474,0.55451894
BiLSTM+Attention,val,77.535624_12.77795,2023-09-01,0.72597295,0.74816495
BiLSTM+Attention,val,77.535624_12.822866,2023-09-01,0.6754713,0.68527776
BiLSTM+Attention,val,77.535624_12.872273,2023-09-01,0.5102138,0.49083662
BiLSTM+Attention,val,77.535624_12.899223,2023-09-01,0.5263134,0.5100199
BiLSTM+Attention,val,77.535624_13.069903,2023-09-01,0.657623,0.64760864
BiLSTM+Attention,val,77.535624_13.083377,2023-09-01,0.54645,0.5293661
BiLSTM+Attention,val,77.535624_13.096852,2023-09-01,0.48731267,0.47043586
BiLSTM+Attention,val,77.535624_13.114818,2023-09-01,0.44854128,0.46452296
BiLSTM+Attention,val,77.535624_13.132785,2023-09-01,0.47378722,0.4873085
BiLSTM+Attention,val,77.535624_13.137276,2023-09-01,0.44474342,0.43032163
BiLSTM+Attention,val,77.535624_13.195667,2023-09-01,0.48732418,0.49966085
BiLSTM+Attention,val,77.540116_12.77795,2023-09-01,0.6256301,0.6327763
BiLSTM+Attention,val,77.540116_12.795916,2023-09-01,0.6731738,0.6547488
BiLSTM+Attention,val,77.540116_13.042953,2023-09-01,0.58665615,0.56712765
BiLSTM+Attention,val,77.540116_13.074394,2023-09-01,0.60485744,0.59009594
BiLSTM+Attention,val,77.540116_13.092361,2023-09-01,0.44530773,0.43387303
BiLSTM+Attention,val,77.540116_13.101344,2023-09-01,0.47520897,0.45512205
BiLSTM+Attention,val,77.540116_13.105835,2023-09-01,0.48843086,0.47422212
BiLSTM+Attention,val,77.540116_13.114818,2023-09-01,0.44932106,0.44180596
BiLSTM+Attention,val,77.540116_13.132785,2023-09-01,0.4590089,0.47380096
BiLSTM+Attention,val,77.540116_13.155243,2023-09-01,0.5139488,0.494417
BiLSTM+Attention,val,77.540116_13.182192,2023-09-01,0.48025385,0.46355128
BiLSTM+Attention,val,77.544607_12.831849,2023-09-01,0.73592585,0.75210917
BiLSTM+Attention,val,77.544607_13.218125,2023-09-01,0.5357814,0.5491132
BiLSTM+Attention,val,77.549099_12.822866,2023-09-01,0.7533871,0.7640817
BiLSTM+Attention,val,77.549099_12.831849,2023-09-01,0.69614494,0.68336487
BiLSTM+Attention,val,77.549099_12.836341,2023-09-01,0.6683604,0.64322823
BiLSTM+Attention,val,77.549099_12.845324,2023-09-01,0.62393236,0.6340416
BiLSTM+Attention,val,77.549099_12.867782,2023-09-01,0.54840577,0.56339264
BiLSTM+Attention,val,77.549099_12.876765,2023-09-01,0.5116219,0.52311623
BiLSTM+Attention,val,77.549099_12.894731,2023-09-01,0.621301,0.6065364
BiLSTM+Attention,val,77.549099_13.096852,2023-09-01,0.4873453,0.4961717
BiLSTM+Attention,val,77.549099_13.132785,2023-09-01,0.61903024,0.5997557
BiLSTM+Attention,val,77.55359_12.71956,2023-09-01,0.7957029,0.7858304
BiLSTM+Attention,val,77.55359_12.782442,2023-09-01,0.6969518,0.71354884
BiLSTM+Attention,val,77.55359_12.849815,2023-09-01,0.61827976,0.62497675
BiLSTM+Attention,val,77.55359_12.872273,2023-09-01,0.50551,0.5197723
BiLSTM+Attention,val,77.55359_13.069903,2023-09-01,0.6983218,0.70837134
BiLSTM+Attention,val,77.55359_13.101344,2023-09-01,0.46772453,0.44960374
BiLSTM+Attention,val,77.55359_13.110327,2023-09-01,0.5262194,0.51165074
BiLSTM+Attention,val,77.55359_13.128293,2023-09-01,0.59791493,0.57803524
BiLSTM+Attention,val,77.55359_13.168717,2023-09-01,0.49634257,0.50679946
BiLSTM+Attention,val,77.55359_13.173209,2023-09-01,0.41956818,0.4389317
BiLSTM+Attention,val,77.558082_12.710577,2023-09-01,0.8236908,0.82128763
BiLSTM+Attention,val,77.558082_12.827358,2023-09-01,0.68395,0.69596726
BiLSTM+Attention,val,77.558082_12.845324,2023-09-01,0.6624862,0.680309
BiLSTM+Attention,val,77.558082_13.042953,2023-09-01,0.66430503,0.64469194
BiLSTM+Attention,val,77.558082_13.051936,2023-09-01,0.69451433,0.68123037
BiLSTM+Attention,val,77.558082_13.110327,2023-09-01,0.53442085,0.514817
BiLSTM+Attention,val,77.558082_13.168717,2023-09-01,0.5100314,0.52148914
BiLSTM+Attention,val,77.558082_13.1777,2023-09-01,0.49167305,0.49792343
BiLSTM+Attention,val,77.562574_12.71956,2023-09-01,0.7649386,0.7981313
BiLSTM+Attention,val,77.562574_12.827358,2023-09-01,0.7211016,0.7000113
BiLSTM+Attention,val,77.562574_12.858799,2023-09-01,0.5418967,0.52742285
BiLSTM+Attention,val,77.562574_12.872273,2023-09-01,0.6241812,0.60923725
BiLSTM+Attention,val,77.562574_12.876765,2023-09-01,0.6199829,0.6247457
BiLSTM+Attention,val,77.562574_13.141768,2023-09-01,0.5127863,0.4906873
BiLSTM+Attention,val,77.562574_13.159734,2023-09-01,0.5125352,0.51881325
BiLSTM+Attention,val,77.562574_13.173209,2023-09-01,0.5191949,0.527045
BiLSTM+Attention,val,77.567065_12.724051,2023-09-01,0.7140241,0.73163253
BiLSTM+Attention,val,77.567065_12.813883,2023-09-01,0.68404984,0.68938416
BiLSTM+Attention,val,77.567065_12.849815,2023-09-01,0.6584646,0.6726411
BiLSTM+Attention,val,77.567065_13.105835,2023-09-01,0.5682942,0.5770109
BiLSTM+Attention,val,77.567065_13.114818,2023-09-01,0.64243823,0.6277359
BiLSTM+Attention,val,77.567065_13.182192,2023-09-01,0.51574147,0.5258373
BiLSTM+Attention,val,77.571557_12.71956,2023-09-01,0.74786544,0.7807778
BiLSTM+Attention,val,77.571557_12.800408,2023-09-01,0.6713695,0.68358165
BiLSTM+Attention,val,77.571557_12.813883,2023-09-01,0.75310206,0.76400435
BiLSTM+Attention,val,77.571557_12.849815,2023-09-01,0.6622558,0.67276937
BiLSTM+Attention,val,77.571557_13.141768,2023-09-01,0.48825738,0.49478233
BiLSTM+Attention,val,77.571557_13.146259,2023-09-01,0.49163225,0.49830365
BiLSTM+Attention,val,77.576048_12.71956,2023-09-01,0.7140786,0.74641246
BiLSTM+Attention,val,77.576048_12.728543,2023-09-01,0.74340475,0.73303306
BiLSTM+Attention,val,77.576048_12.742018,2023-09-01,0.71123064,0.7449563
BiLSTM+Attention,val,77.576048_12.813883,2023-09-01,0.7638554,0.78325605
BiLSTM+Attention,val,77.576048_12.827358,2023-09-01,0.6777557,0.6549841
BiLSTM+Attention,val,77.58054_12.800408,2023-09-01,0.7105694,0.72984576
BiLSTM+Attention,val,77.58054_12.845324,2023-09-01,0.69437826,0.6843325
BiLSTM+Attention,val,77.58054_13.083377,2023-09-01,0.55698663,0.53162056
BiLSTM+Attention,val,77.58054_13.087869,2023-09-01,0.53098255,0.5103028
BiLSTM+Attention,val,77.585031_12.849815,2023-09-01,0.6918221,0.67768115
BiLSTM+Attention,val,77.585031_13.042953,2023-09-01,0.69276106,0.6751879
BiLSTM+Attention,val,77.585031_13.137276,2023-09-01,0.49530715,0.50161684
BiLSTM+Attention,val,77.589523_12.71956,2023-09-01,0.85396457,0.8477105
BiLSTM+Attention,val,77.589523_12.746509,2023-09-01,0.7417369,0.7369225
BiLSTM+Attention,val,77.589523_12.854307,2023-09-01,0.6395097,0.6216376
BiLSTM+Attention,val,77.589523_12.971088,2023-09-01,0.7299502,0.73374575
BiLSTM+Attention,val,77.589523_13.083377,2023-09-01,0.6407872,0.61634576
BiLSTM+Attention,val,77.589523_13.150751,2023-09-01,0.50078547,0.5071009
BiLSTM+Attention,val,77.594015_12.724051,2023-09-01,0.831351,0.82170063
BiLSTM+Attention,val,77.594015_12.733034,2023-09-01,0.7708526,0.790056
BiLSTM+Attention,val,77.594015_12.755492,2023-09-01,0.6745607,0.6870771
BiLSTM+Attention,val,77.594015_12.831849,2023-09-01,0.6543116,0.6304452
BiLSTM+Attention,val,77.594015_12.836341,2023-09-01,0.64419913,0.6613036
BiLSTM+Attention,val,77.594015_12.840832,2023-09-01,0.6447235,0.66393936
BiLSTM+Attention,val,77.594015_12.849815,2023-09-01,0.63556296,0.65440255
BiLSTM+Attention,val,77.594015_12.998037,2023-09-01,0.7479684,0.7296236
BiLSTM+Attention,val,77.594015_13.087869,2023-09-01,0.6254609,0.6033738
BiLSTM+Attention,val,77.598506_12.665661,2023-09-01,0.83353573,0.8365928
BiLSTM+Attention,val,77.598506_12.710577,2023-09-01,0.7616348,0.73316973
BiLSTM+Attention,val,77.598506_12.822866,2023-09-01,0.6493776,0.6558527
BiLSTM+Attention,val,77.598506_12.849815,2023-09-01,0.67553097,0.6977234
BiLSTM+Attention,val,77.598506_13.083377,2023-09-01,0.618476,0.5986966
BiLSTM+Attention,val,77.598506_13.128293,2023-09-01,0.5578018,0.56725425
BiLSTM+Attention,val,77.598506_13.141768,2023-09-01,0.4715816,0.4836113
BiLSTM+Attention,val,77.598506_13.146259,2023-09-01,0.45154545,0.46675223
BiLSTM+Attention,val,77.602998_12.710577,2023-09-01,0.79957247,0.77646744
BiLSTM+Attention,val,77.602998_12.827358,2023-09-01,0.5948884,0.5739587
BiLSTM+Attention,val,77.602998_12.849815,2023-09-01,0.5807792,0.5880507
BiLSTM+Attention,val,77.602998_12.858799,2023-09-01,0.5895625,0.6001199
BiLSTM+Attention,val,77.602998_13.114818,2023-09-01,0.6121712,0.5906646
BiLSTM+Attention,val,77.602998_13.11931,2023-09-01,0.57766986,0.5886838
BiLSTM+Attention,val,77.602998_13.128293,2023-09-01,0.52743423,0.5344902
BiLSTM+Attention,val,77.602998_13.164226,2023-09-01,0.48422265,0.49803865
BiLSTM+Attention,val,77.607489_12.768967,2023-09-01,0.66653204,0.64733386
BiLSTM+Attention,val,77.607489_12.773459,2023-09-01,0.64006233,0.622767
