site_id,sequence_start_date,anchor_date,reference_date,target_date
77.472742_12.984563,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.472742_13.087869,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.477234_12.764475,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.477234_12.782442,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.477234_12.840832,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.477234_12.899223,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.477234_12.935155,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.477234_12.944139,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.477234_12.94863,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.477234_12.971088,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.477234_13.002529,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.477234_13.056428,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.481725_12.737526,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.481725_12.768967,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.481725_12.831849,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.481725_12.89024,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.481725_12.894731,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.481725_12.944139,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.481725_12.971088,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.481725_12.980071,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.481725_13.024987,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.481725_13.03397,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.481725_13.096852,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.481725_13.137276,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.486217_12.764475,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.486217_12.872273,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.486217_12.939647,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.486217_12.998037,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.486217_13.042953,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.486217_13.06092,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.486217_13.114818,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.486217_13.11931,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.490708_12.768967,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.490708_12.8049,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.490708_12.849815,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.490708_12.89024,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.490708_13.051936,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.490708_13.087869,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.490708_13.092361,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.490708_13.096852,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.490708_13.182192,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.490708_13.209142,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.4952_12.786933,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.4952_12.836341,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.4952_12.899223,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.4952_12.962105,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.4952_13.020495,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.4952_13.024987,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.4952_13.03397,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.4952_13.087869,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.4952_13.092361,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.4952_13.182192,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.499692_12.755492,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.499692_12.858799,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.499692_12.899223,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.499692_12.984563,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.499692_13.114818,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.499692_13.137276,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.499692_13.168717,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.504183_12.764475,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.504183_12.786933,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.504183_12.818374,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.504183_12.854307,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.504183_12.858799,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.504183_12.953122,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.504183_13.083377,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.504183_13.141768,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.504183_13.159734,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.504183_13.195667,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.508675_12.751001,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.508675_12.795916,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.508675_12.831849,2019-01-01,2019-12-01,2020-01-01,2020-04-01
