Rain_log,Temp,LST,SoilMoisture,NDVI,green_fraction_boxcox,Clay,Nitrogen_log,pH,BulkDensity,Elevation,Slope_log,AOD_log,NO2_log,SO2,Month_Sin,Month_Cos,longitude,latitude
2.4237561916781334,21.07391838155769,29.54000000000002,0.19295956,0.3170044,-24.27541929951861,22.0,2.9231615807191558,6.5,1.39,843,0.9413501454774921,0.40782897863010154,3.947511052884271,8.418674656673474e-05,0.49999999999999994,0.8660254037844387,77.37392737598486,13.016003741227628
1.9090982058944388,21.07391838155769,26.760000000000048,0.20544371,0.3004873,-25.323206285557305,19.3,2.9806186357439426,6.4,1.36,857,0.334339392296383,0.4112999043804383,3.9323137226698783,0.0002486330189501608,0.49999999999999994,0.8660254037844387,77.37841895240547,12.966596400601048
1.7118882327268847,21.19387805897702,29.38333333333333,0.20329419,0.23801078,-42.10049758029482,22.3,2.995732273553991,6.5,1.37,783,0.39854493887466425,0.4252314239244657,3.997653559717072,0.0001224847195811566,0.49999999999999994,0.8660254037844387,77.38291052882607,12.894731177871492
1.9090982058944388,21.07391838155769,27.34333333333336,0.20544371,0.26342547,-31.777243996235455,24.8,2.89591193827178,6.5,1.37,866,0.5386454157762423,0.41764983120244836,3.9549580677276235,9.069964874281414e-05,0.49999999999999994,0.8660254037844387,77.38291052882607,12.953121671339261
1.9090982058944388,21.07391838155769,27.34333333333336,0.20544371,0.21424441,-33.67627409606294,24.5,2.9069010598473755,6.5,1.37,859,0.7369036014367667,0.41764983120244836,3.9549580677276235,9.069964874281414e-05,0.49999999999999994,0.8660254037844387,77.38291052882607,12.95761324775986
1.9090982058944388,21.07391838155769,27.610000000000017,0.20544371,0.22261664,-31.660319093269777,24.7,2.8678989020441064,6.5,1.38,866,0.439139926303975,0.41661109351841846,3.940363396138326,0.0002682131630532286,0.49999999999999994,0.8660254037844387,77.38740210524668,12.96210482418045
1.9090982058944388,21.07391838155769,29.03666666666669,0.20544371,0.29914662,-29.811386597127914,21.3,2.9806186357439426,6.5,1.38,852,0.6571650953849806,0.41770567523201396,3.948716649979774,0.0003593120691026794,0.49999999999999994,0.8660254037844387,77.38740210524668,12.975579553442245
1.9090982058944388,21.07391838155769,29.03666666666669,0.20544371,0.2679414,-28.696759147161885,22.3,2.9601050959108397,6.5,1.38,839,0.7882939833826142,0.41770567523201396,3.9595320666116733,0.0002530098212120163,0.49999999999999994,0.8660254037844387,77.38740210524668,12.980071129862843
1.7118882327268847,21.19387805897702,29.02333333333337,0.20329419,0.19590537,-40.82210094242052,20.4,3.039749158970765,6.5,1.35,807,1.1044089086740845,0.42936246328241884,3.9273720055279924,1.852095659055818e-05,0.49999999999999994,0.8660254037844387,77.39189368166728,12.867781719347903
1.7118882327268847,21.19387805897702,29.370000000000005,0.20329419,0.06714578,-37.128223126797714,21.8,3.0204248861443626,6.4,1.33,837,1.1044089086740845,0.4641778688803502,3.979333479584729,4.907525004718777e-05,0.49999999999999994,0.8660254037844387,77.39189368166728,12.881256448609697
1.7118882327268847,21.19387805897702,29.28333333333336,0.20329419,0.1140635,-37.15089709693836,21.9,3.0349529867072724,6.5,1.33,839,1.0430977464599214,0.4541494465724339,3.979333479584729,4.907525004718777e-05,0.49999999999999994,0.8660254037844387,77.39189368166728,12.885748025030296
1.7118882327268847,21.19387805897702,29.57000000000005,0.20329419,0.2562378,-33.78601609833445,21.6,3.0155349008501706,6.5,1.34,838,0.7115245770107052,0.42667713045725986,4.019570038533863,0.00015464109387101918,0.49999999999999994,0.8660254037844387,77.39638525808783,12.894731177871492
1.6082519054793438,21.19387805897702,29.53666666666669,0.20329419,0.28453392,-24.97221910688419,21.8,2.9496883350525844,6.4,1.35,830,0.460658246874331,0.408792898200839,4.047444751188767,0.00019647381132871785,0.49999999999999994,0.8660254037844387,77.39638525808783,12.90820590713328
1.6082519054793438,21.19387805897702,28.55666666666673,0.20544371,0.26201293,-28.609612473329385,22.4,2.990719731730447,6.5,1.35,867,0.7917942866278345,0.43991738529968843,3.9845035603671897,0.00013703540761709584,0.49999999999999994,0.8660254037844387,77.39638525808783,12.944138518498065
1.9090982058944388,21.07391838155769,28.676666666666733,0.20544371,0.42363578,-16.761031204546367,23.4,2.917770732084279,6.4,1.37,856,0.7623862617348038,0.43624574541025535,3.994131383436392,0.0003484873102280935,0.49999999999999994,0.8660254037844387,77.39638525808783,12.971087977021647
1.9090982058944388,21.07391838155769,28.850000000000023,0.20544371,0.38610294,-21.393183555064677,23.1,2.8791984572980396,6.4,1.37,852,0.7960014231375714,0.43380481613799876,3.994131383436392,0.0003484873102280935,0.49999999999999994,0.8660254037844387,77.39638525808783,12.975579553442245
2.4237561916781334,21.07391838155769,28.52500000000003,0.19295956,0.3263445,-29.402830655260576,18.7,2.9069010598473755,6.4,1.37,852,0.685801265270362,0.39776890147369404,3.992100334259591,0.0001133881320941782,0.49999999999999994,0.8660254037844387,77.39638525808783,13.029478470489416
1.6816563925706904,21.07391838155769,28.930000000000007,0.20544371,0.34320945,-27.097131146689858,24.7,2.884800712846709,6.5,1.36,864,0.6942332405831941,0.42994089502552685,4.005715112099927,8.928386833143215e-05,0.49999999999999994,0.8660254037844387,77.40087683450844,12.95761324775986
1.6816563925706904,21.07391838155769,29.30333333333334,0.20544371,0.16845465,-32.257670133233326,23.1,2.8791984572980396,6.4,1.37,857,0.8502102438497877,0.4574248470388754,3.995084725874764,0.0001777972763722137,0.49999999999999994,0.8660254037844387,77.40087683450844,12.966596400601048
1.9536081344951606,21.07391838155769,28.52500000000003,0.19295956,0.3735702,-17.772554163456128,18.7,2.8735646395797834,6.4,1.37,857,0.6059215842633617,0.39776890147369404,4.085358754535476,0.00019294946405430032,0.49999999999999994,0.8660254037844387,77.40087683450844,13.029478470489416
1.7645503852724052,21.19387805897702,28.963333333333367,0.20329419,0.28724772,-21.83284182763972,20.8,2.8903717578961645,6.5,1.37,816,0.6961388510478304,0.4550486082969923,4.034213728699087,0.0001908655605563164,0.49999999999999994,0.8660254037844387,77.40536841092904,12.881256448609697
1.7645503852724052,21.19387805897702,28.910000000000025,0.20329419,0.29949585,-25.00046597600676,19.9,2.91235066461494,6.5,1.36,812,0.7917464453889765,0.44449726653287724,4.067403925964788,0.00024715351259436356,0.49999999999999994,0.8660254037844387,77.40536841092904,12.890239601450894
1.76661979092493,21.19387805897702,29.736666666666736,0.20329419,0.266524,-28.53996034763343,20.3,2.856470206220483,6.5,1.37,812,0.7346743663743615,0.41563543676224185,4.0993193457195085,0.0003027690846493015,0.49999999999999994,0.8660254037844387,77.40536841092904,12.903714330712688
